
Image Name                     PID Session Name        Session#    Mem Usage
msedge.exe                   57932 Console                    1     34,960 K
WeChatAppEx.exe              43540 Console                    1     74,704 K
Code.exe                     49204 Console                    1     59,976 K
Code.exe                     32824 Console                    1      9,640 K
Code.exe                     31232 Console                    1     20,660 K
Code.exe                     26800 Console                    1     23,400 K
Code.exe                     53132 Console                    1    164,144 K
Code.exe                     39256 Console                    1     44,432 K
Code.exe                     45060 Console                    1     24,208 K
Code.exe                     48160 Console                    1     30,848 K
Code.exe                     48780 Console                    1     12,612 K
Code.exe                     41508 Console                    1     12,776 K
Code.exe                     33008 Console                    1     13,164 K
OfficeClickToRun.exe         49620 Services                   0     29,096 K
AppVShNotify.exe             50468 Console                    1      2,200 K
ONENOTE.EXE                  55792 Console                    1    159,212 K
ONENOTEM.EXE                 50996 Console                    1      2,904 K
SearchIndexer.exe            13112 Services                   0     40,980 K
SDXHelper.exe                43580 Console                    1     17,820 K
wps.exe                      21300 Console                    1    152,720 K
wps.exe                      52364 Console                    1     70,100 K
wps.exe                      51256 Console                    1     99,424 K
wps.exe                      44484 Console                    1      9,012 K
svchost.exe                  50784 Services                   0     17,600 K
WeChatAppEx.exe              47332 Console                    1     12,500 K
backgroundTaskHost.exe        9500 Console                    1      1,076 K
backgroundTaskHost.exe       48824 Console                    1      1,140 K
svchost.exe                  11068 Services                   0      4,120 K
cmd.exe                      42184 Console                    1      1,260 K
conhost.exe                  60620 Console                    1      2,312 K
QoderCN.exe                  15068 Console                    1    270,384 K
msedge.exe                   58268 Console                    1     29,996 K
msedge.exe                   48292 Console                    1     14,100 K
cmd.exe                      30140 Console                    1      1,764 K
conhost.exe                   8236 Console                    1      2,616 K
OpenConsole.exe               1972 Console                    1      3,424 K
node.exe                     44332 Console                    1    170,416 K
msedge.exe                   59568 Console                    1      8,824 K
msedge.exe                   55876 Console                    1     10,432 K
Code.exe                     53948 Console                    1     14,104 K
msedge.exe                   27908 Console                    1     18,028 K
kaideployserver.exe           2928 Console                    1      5,492 K
msedge.exe                   14524 Console                    1     15,528 K
explorer.exe                 44976 Console                    1    108,696 K
cmd.exe                      37828 Console                    1      2,352 K
conhost.exe                  46048 Console                    1      3,148 K
cmd.exe                       2124 Console                    1      2,340 K
Lingma.exe                   61400 Console                    1    126,592 K
WeChatAppEx.exe               8532 Console                    1    151,936 K
backgroundTaskHost.exe       32216 Console                    1     19,780 K
svchost.exe                  55348 Services                   0      7,236 K
SystemSettings.exe           45040 Console                    1      4,216 K
msedge.exe                    7044 Console                    1     18,248 K
MpDefenderCoreService.exe    29848 Services                   0     25,820 K
MsMpEng.exe                  62948 Services                   0    472,828 K
NisSrv.exe                   49516 Services                   0     16,296 K
CodeSetup-stable-1b50d58d    51140 Console                    1      8,592 K
CodeSetup-stable-1b50d58d    57288 Console                    1     25,752 K
WmiPrvSE.exe                 61624 Services                   0     19,292 K
svchost.exe                  43544 Services                   0      9,072 K
msedge.exe                   63364 Console                    1    149,200 K
idea64.exe                   18528 Console                    1  4,078,332 K
fsnotifier.exe               39684 Console                    1      3,792 K
conhost.exe                  34636 Console                    1      6,988 K
node.exe                     59268 Console                    1    117,696 K
node.exe                     32668 Console                    1     38,652 K
conhost.exe                  47976 Console                    1      7,260 K
conhost.exe                  21900 Console                    1      7,260 K
idea64.exe                   10848 Console                    1    138,240 K
idea64.exe                   54904 Console                    1     17,220 K
idea64.exe                   56852 Console                    1     23,068 K
idea64.exe                   42112 Console                    1    108,080 K
idea64.exe                   61544 Console                    1    153,972 K
java.exe                     22872 Console                    1     20,788 K
conhost.exe                  50776 Console                    1      7,144 K
java.exe                      6228 Console                    1    302,732 K
conhost.exe                   7564 Console                    1      7,204 K
OpenConsole.exe              27224 Console                    1     11,264 K
cmd.exe                        592 Console                    1      5,980 K
node.exe                     12892 Console                    1     38,676 K
cmd.exe                      34288 Console                    1      6,024 K
node.exe                     38668 Console                    1     83,176 K
esbuild.exe                  37492 Console                    1     16,988 K
WindowsPackageManagerServ    63724 Console                    1     33,016 K
java.exe                     55692 Console                    1     61,644 K
conhost.exe                  39420 Console                    1      7,160 K
et.exe                       64944 Console                    1    167,768 K
Apifox.exe                   60272 Console                    1     84,116 K
com.vortex.helper.exe        21768 Console                    1     49,984 K
conhost.exe                  25808 Console                    1      7,056 K
WeChatAppEx.exe              59404 Console                    1    179,032 K
ShellHost.exe                59732 Console                    1     47,248 K
